#{"t_start": 1760104923.8170428, "env_id": "None"}
r,l,t
-131.40448,100,0.700706
-60.301453,100,0.700761
-145.58989,100,0.700772
-281.9064,100,0.70078
-126.549934,100,0.70079
-27.092125,100,0.700796
-44.01525,100,0.700801
-254.51369,100,0.700807
-192.13861,100,0.700812
-319.51422,100,0.700816
-45.61605,100,0.858217
-33.450623,100,0.858245
-52.945427,100,0.858253
-146.26662,100,0.858259
-96.488075,100,0.858264
-103.11734,100,0.85827
-65.00721,100,0.858277
-25.731188,100,0.858282
-37.735405,100,0.858287
-101.14357,100,0.858292
-12.5834675,100,1.020128
-83.476685,100,1.020169
-16.524273,100,1.020178
-31.481123,100,1.020185
-153.79756,100,1.020191
-15.100075,100,1.020196
-85.179565,100,1.020202
-88.22705,100,1.020207
-93.74988,100,1.020212
-20.001596,100,1.020217
-53.077003,100,1.182362
-154.67747,100,1.182407
-50.606277,100,1.182418
-56.50199,100,1.182425
-30.037441,100,1.182431
-34.226173,100,1.182437
-62.422104,100,1.182442
-93.661316,100,1.182447
-52.550957,100,1.182452
-114.12838,100,1.182457
-36.730186,100,1.342152
-68.01259,100,1.34221
-15.3238125,100,1.342223
-25.979595,100,1.342231
-21.918808,100,1.342237
-33.70871,100,1.342243
-29.723211,100,1.342248
-110.66492,100,1.342253
-27.694105,100,1.342258
-25.107542,100,1.342263
-91.30598,100,1.503748
-74.073395,100,1.503797
-131.57155,100,1.503807
-108.85347,100,1.503813
-91.976944,100,1.503819
-67.20166,100,1.503825
-119.04508,100,1.50383
-142.5166,100,1.503835
-80.604836,100,1.503841
-118.27024,100,1.503845
-51.70837,100,1.660464
-39.983463,100,1.660492
-26.917076,100,1.660502
-40.167015,100,1.660508
-30.632404,100,1.660514
-34.477013,100,1.660519
-61.83763,100,1.660524
-54.024292,100,1.660529
-37.609066,100,1.660533
-27.269276,100,1.660538
-28.2038,100,1.817397
-64.45242,100,1.817426
-49.5549,100,1.817437
-54.110416,100,1.817444
-42.03206,100,1.817454
-40.583645,100,1.817459
-31.625015,100,1.817464
-57.465176,100,1.817472
-57.94711,100,1.817477
-40.81897,100,1.817481
-41.897167,100,1.97427
-53.38003,100,1.974297
-38.758343,100,1.974305
-21.203543,100,1.974314
-43.386356,100,1.97432
-29.95436,100,1.97433
-27.358833,100,1.974336
-62.675644,100,1.974341
-34.16587,100,1.974345
-22.878113,100,1.974351
-104.82727,100,2.131618
-35.219296,100,2.131637
-72.859726,100,2.131645
-101.3168,100,2.131651
-77.87641,100,2.131657
-73.23654,100,2.131663
-145.12184,100,2.131668
-101.87118,100,2.131673
-94.61098,100,2.131678
-79.31632,100,2.131683
-64.97112,100,2.290368
-35.81296,100,2.290407
-45.405716,100,2.290415
-62.95147,100,2.290422
-57.13003,100,2.290428
-43.68467,100,2.290434
-63.264374,100,2.290439
-68.085625,100,2.290444
-50.506603,100,2.290449
-68.20089,100,2.290454
-26.320206,100,2.447217
-34.37418,100,2.447247
-56.89155,100,2.447257
-59.737766,100,2.447264
-35.77626,100,2.44727
-39.085136,100,2.447275
-43.84121,100,2.447281
-48.04169,100,2.447286
-35.16419,100,2.447291
-34.415985,100,2.447296
-32.13596,100,2.603745
-58.791164,100,2.60378
-46.13213,100,2.603787
-111.51658,100,2.603796
-46.32954,100,2.603802
-43.17186,100,2.603807
-49.425003,100,2.603815
-38.90967,100,2.60382
-37.964348,100,2.603825
-28.03729,100,2.60383
-64.32676,100,2.759934
-73.47652,100,2.75996
-67.18727,100,2.759968
-87.53354,100,2.759975
-29.844116,100,2.759981
-33.740807,100,2.759989
-81.495255,100,2.759995
-46.7499,100,2.76
-55.31864,100,2.760005
-30.491053,100,2.76001
-30.902294,100,2.916326
-59.88868,100,2.916347
-41.635513,100,2.916356
-21.420082,100,2.916363
-36.286892,100,2.916368
-45.758152,100,2.916374
-20.938538,100,2.916379
-30.421293,100,2.916384
-52.494247,100,2.916389
-27.153156,100,2.916394
-53.25625,100,3.075874
-49.715218,100,3.075914
-23.269844,100,3.075922
-89.715866,100,3.075928
-92.28304,100,3.075934
-64.70469,100,3.075939
-25.646395,100,3.075944
-80.7941,100,3.075948
-29.486813,100,3.075953
-55.827995,100,3.075958
-83.42985,100,3.232465
-32.053017,100,3.232494
-14.406018,100,3.232504
-30.659695,100,3.23251
-30.019106,100,3.232516
-16.464125,100,3.232529
-94.39251,100,3.232534
-115.56,100,3.232539
-56.330627,100,3.232543
-52.48726,100,3.232548
-31.845112,100,3.388477
-40.776955,100,3.388511
-32.26568,100,3.388519
-34.92624,100,3.388526
-31.333439,100,3.388531
-53.764805,100,3.388539
-34.442963,100,3.388544
-33.9242,100,3.388549
-101.07804,100,3.388556
-37.179028,100,3.38856
-80.98538,100,3.544427
-61.299385,100,3.544451
-78.96022,100,3.544458
-39.988125,100,3.544464
-49.739178,100,3.544469
-8.804695,100,3.544473
-49.52019,100,3.544478
-80.02417,100,3.544482
-30.98951,100,3.544487
-71.157715,100,3.544491
-58.83642,100,3.700201
-52.140396,100,3.700216
-48.27069,100,3.700226
-60.599545,100,3.700231
-40.441006,100,3.700237
-41.404144,100,3.700241
-48.75728,100,3.700249
-56.967,100,3.700253
-65.15902,100,3.700258
-116.177734,100,3.700262
-42.900738,100,3.85866
-35.76671,100,3.858697
-43.13798,100,3.858705
-42.148426,100,3.85871
-58.79109,100,3.858716
-54.643337,100,3.85872
-48.172787,100,3.858725
-59.56776,100,3.858732
-36.990063,100,3.858737
-51.90921,100,3.858741
-65.83345,100,4.015438
-40.06354,100,4.015462
-48.764084,100,4.015469
-23.240955,100,4.015474
-74.00104,100,4.015479
-55.312172,100,4.015483
-90.34886,100,4.015488
-42.34807,100,4.015492
-35.585697,100,4.015496
-53.27661,100,4.0155
-94.80317,100,4.171998
-75.56301,100,4.172025
-37.164146,100,4.172032
-81.32196,100,4.172038
-42.852837,100,4.172043
-105.73777,100,4.172047
-126.90175,100,4.172052
-51.983185,100,4.172056
-126.86006,100,4.17206
-32.12551,100,4.172064
-59.385265,100,4.327793
-55.231365,100,4.327822
-95.73841,100,4.327829
-42.63972,100,4.327835
-89.39198,100,4.327841
-23.257698,100,4.327846
-99.924446,100,4.327851
-83.20777,100,4.327855
-83.98539,100,4.327859
-42.970478,100,4.327863
-63.88122,100,4.484021
-50.09139,100,4.484041
-29.408655,100,4.484049
-63.84536,100,4.484054
-42.64653,100,4.484059
-36.54129,100,4.484064
-38.084026,100,4.484068
-30.575178,100,4.484073
-49.994617,100,4.484078
-64.708405,100,4.484082
-69.00191,100,4.642758
-36.9587,100,4.642793
-32.29959,100,4.6428
-26.318657,100,4.642806
-74.08952,100,4.642812
-51.651413,100,4.642817
-42.26247,100,4.642822
-32.145214,100,4.642826
-36.223507,100,4.64283
-47.67626,100,4.642835
-44.00361,100,4.799205
-58.17127,100,4.799235
-21.14353,100,4.799245
-82.529724,100,4.799251
-41.42771,100,4.79926
-52.578003,100,4.799265
-34.989532,100,4.79927
-44.635975,100,4.799274
-37.75452,100,4.799279
-110.403305,100,4.799283
-46.427605,100,4.95532
-74.87322,100,4.955355
-76.5332,100,4.955362
-108.53165,100,4.955371
-59.931133,100,4.955376
-89.4973,100,4.95538
-69.35424,100,4.955385
-89.8263,100,4.955389
-44.452168,100,4.955393
-63.813164,100,4.955397
-70.30067,100,5.114566
-49.667004,100,5.114607
-42.17389,100,5.114615
-53.649876,100,5.114621
-38.38954,100,5.114627
-42.246464,100,5.114632
-60.66226,100,5.114637
-57.033085,100,5.114641
-48.632957,100,5.114645
-44.18126,100,5.114649
-74.10329,100,5.270494
-64.44139,100,5.270519
-24.03191,100,5.270527
-36.588806,100,5.270533
-36.204704,100,5.270539
-37.12127,100,5.270544
-31.315374,100,5.270548
-10.938939,100,5.270553
-43.702606,100,5.270558
-46.830204,100,5.270562
-45.80549,100,5.43063
-44.692608,100,5.43068
-142.92004,100,5.430691
-67.00999,100,5.430698
-25.92685,100,5.430703
-37.657917,100,5.430708
-108.098915,100,5.430713
-19.82761,100,5.430717
-31.233374,100,5.430721
-26.109789,100,5.430725
-33.65729,100,5.58766
-58.23185,100,5.587681
-30.202797,100,5.587689
-20.43641,100,5.587695
-15.539371,100,5.5877
-19.997477,100,5.587705
-22.132097,100,5.58771
-28.931864,100,5.587714
-32.368713,100,5.587718
-31.006544,100,5.587723
-45.238342,100,5.744929
-44.29174,100,5.744955
-28.536299,100,5.744961
-26.13689,100,5.744967
-29.73267,100,5.744971
-32.805084,100,5.744975
-18.304897,100,5.74498
-19.663101,100,5.744983
-25.470896,100,5.744987
-43.207478,100,5.744991
-23.92155,100,5.901559
-20.572735,100,5.901579
-28.062225,100,5.901586
-38.224365,100,5.901601
-21.318226,100,5.901606
-47.71159,100,5.901615
-24.574451,100,5.90162
-27.965414,100,5.901624
-25.667042,100,5.901628
-27.541046,100,5.901633
-37.40223,100,6.058665
-27.974516,100,6.058697
-25.981602,100,6.058706
-32.728897,100,6.058712
-39.319828,100,6.058717
-23.274992,100,6.058722
-28.9066,100,6.058727
-10.105357,100,6.058734
-47.46774,100,6.058739
-24.654524,100,6.058743
-25.493294,100,6.217751
-20.518053,100,6.217789
-25.111532,100,6.217798
-44.480865,100,6.217804
-21.301058,100,6.21781
-10.314828,100,6.217815
-24.359833,100,6.217821
-20.93161,100,6.217825
-29.679417,100,6.21783
-39.78542,100,6.217834
-19.24819,100,6.374584
-15.727822,100,6.374602
-24.961885,100,6.37461
-16.107208,100,6.374615
-18.955362,100,6.37462
-19.530258,100,6.374624
-10.583681,100,6.374631
-15.250643,100,6.374635
-19.296345,100,6.374639
-29.014814,100,6.374643
-16.863806,100,6.531863
-13.546037,100,6.531897
-21.95498,100,6.531903
-37.052563,100,6.531908
-21.936483,100,6.531913
-18.388063,100,6.531917
-24.863438,100,6.531921
-11.707223,100,6.531925
