#{"t_start": 1761301565.697262, "env_id": "None"}
r,l,t
-12.0,100,0.639725
4.0,100,0.639775
-57.0,100,0.639784
-13.0,100,0.639791
-35.0,100,0.639796
-45.0,100,0.639801
11.0,100,0.639806
-19.0,100,0.63981
5.0,100,0.639814
-36.0,100,0.639818
-7.0,100,0.761466
12.0,100,0.761491
-40.0,100,0.761502
-53.0,100,0.761508
-65.0,100,0.761513
-38.0,100,0.761519
-31.0,100,0.761524
-30.0,100,0.761528
3.0,100,0.761535
-20.0,100,0.761539
2.0,100,0.882638
13.0,100,0.882673
-7.0,100,0.882681
-35.0,100,0.882687
-41.0,100,0.882691
17.0,100,0.882698
-23.0,100,0.882703
0.0,100,0.882707
-6.0,100,0.882712
-25.0,100,0.882716
-38.0,100,1.003415
-75.0,100,1.003428
-64.0,100,1.003434
-17.0,100,1.003439
-3.0,100,1.003444
-22.0,100,1.003448
-13.0,100,1.003455
-12.0,100,1.003458
-37.0,100,1.003462
3.0,100,1.003466
-35.0,100,1.124553
1.0,100,1.124596
-5.0,100,1.124605
-84.0,100,1.124611
-24.0,100,1.124617
-33.0,100,1.124622
-14.0,100,1.124627
-24.0,100,1.124632
-68.0,100,1.124638
-58.0,100,1.124643
-9.0,100,1.245875
-59.0,100,1.245903
-19.0,100,1.245909
-1.0,100,1.245915
-40.0,100,1.24592
-24.0,100,1.245929
-50.0,100,1.245933
-19.0,100,1.245937
-6.0,100,1.245941
-46.0,100,1.245948
-34.0,100,1.366578
-22.0,100,1.366592
-9.0,100,1.366598
-51.0,100,1.366603
-36.0,100,1.366608
-48.0,100,1.366612
-28.0,100,1.366616
10.0,100,1.366619
-58.0,100,1.366623
-48.0,100,1.366627
1.0,100,1.486787
-46.0,100,1.486799
27.0,100,1.486808
13.0,100,1.486813
-28.0,100,1.486818
-2.0,100,1.486822
-21.0,100,1.486826
-19.0,100,1.48683
-42.0,100,1.486834
-58.0,100,1.486838
-11.0,100,1.607217
-11.0,100,1.607235
-24.0,100,1.607241
-50.0,100,1.607246
-66.0,100,1.607251
-27.0,100,1.607258
-34.0,100,1.607262
-10.0,100,1.607266
-51.0,100,1.60727
-34.0,100,1.607274
