#{"t_start": 1761302692.6657631, "env_id": "None"}
r,l,t
-65.593475,100,0.734651
-235.70781,100,0.734698
-107.20433,100,0.734708
-101.688545,100,0.734717
-115.35155,100,0.734723
-172.65717,100,0.734727
-299.34937,100,0.734735
-22.396082,100,0.734739
-106.92963,100,0.734744
-58.582485,100,0.734748
-287.49988,100,0.862365
-200.5698,100,0.862387
-127.18714,100,0.862395
-22.682285,100,0.862403
-308.77243,100,0.862408
-196.93382,100,0.862413
-214.70367,100,0.862417
-364.59906,100,0.862421
-132.34654,100,0.862425
-157.66174,100,0.862428
-105.41233,100,0.990266
-187.28041,100,0.990303
-151.43312,100,0.990312
-94.096275,100,0.990317
-109.99569,100,0.990323
-118.38763,100,0.990327
-177.35773,100,0.990334
-167.46066,100,0.990338
-56.02973,100,0.990342
-123.355354,100,0.990346
-49.508774,100,1.117628
-134.12802,100,1.117643
-22.530817,100,1.117649
-264.25867,100,1.117655
-22.323133,100,1.117659
-84.31764,100,1.117664
-150.58507,100,1.117668
-64.68487,100,1.117672
-213.98064,100,1.117676
-178.31013,100,1.11768
-133.97449,100,1.248406
-26.288485,100,1.248453
-53.39543,100,1.248461
-58.58954,100,1.248467
-108.79525,100,1.248472
-117.68471,100,1.248477
-200.85716,100,1.248482
-174.0677,100,1.248486
-89.20633,100,1.248489
-186.35188,100,1.248493
-129.74655,100,1.378836
-417.48526,100,1.378871
-118.160286,100,1.378878
-148.04958,100,1.378883
-38.3522,100,1.378888
-178.83511,100,1.378892
-302.9664,100,1.378897
-335.3955,100,1.378901
-42.012238,100,1.378905
-48.87322,100,1.378909
-92.55275,100,1.506571
-113.20472,100,1.506594
-89.17204,100,1.506601
-272.63458,100,1.506606
-19.14853,100,1.506611
-224.13586,100,1.506615
-287.4446,100,1.506619
-81.74406,100,1.506627
-58.648685,100,1.506631
-318.0951,100,1.506635
-70.630104,100,1.634053
-94.655205,100,1.634073
-58.00608,100,1.634079
-95.60022,100,1.634084
-52.41506,100,1.634089
-74.02319,100,1.634093
-92.49179,100,1.634097
-61.50513,100,1.634101
-72.00149,100,1.634105
-76.906715,100,1.634108
-451.26843,100,1.769784
-155.75638,100,1.769838
-280.3335,100,1.769847
-345.54218,100,1.769854
-202.6498,100,1.76986
-188.04958,100,1.769865
-224.882,100,1.76987
-142.1689,100,1.769875
-218.3511,100,1.76988
-69.50931,100,1.769884
-279.5065,100,1.91605
-226.4803,100,1.916101
-74.560555,100,1.91611
-34.39682,100,1.916117
-226.45665,100,1.916125
-91.43401,100,1.916131
-186.11203,100,1.916136
-49.32991,100,1.916142
-19.597958,100,1.916146
-44.522633,100,1.916151
-115.20219,100,2.047382
-34.949245,100,2.047429
-152.76257,100,2.047441
-118.476585,100,2.047447
-105.349785,100,2.047456
-93.54151,100,2.047461
-170.25073,100,2.047466
-48.486923,100,2.047473
-148.06897,100,2.047477
-50.522778,100,2.04748
-243.96289,100,2.181075
-101.6811,100,2.181121
-252.48615,100,2.181129
-28.56891,100,2.181135
-38.244255,100,2.181139
-104.182915,100,2.181144
-81.16537,100,2.181148
-190.55782,100,2.181153
-210.87027,100,2.181157
-99.74579,100,2.181161
-191.20967,100,2.310775
-148.44055,100,2.310816
-183.39552,100,2.310825
-88.268,100,2.310831
-29.468815,100,2.310837
-156.02559,100,2.310842
-43.157787,100,2.310847
-22.299032,100,2.310852
-98.65746,100,2.310856
-59.212578,100,2.31086
-65.85701,100,2.44761
-69.78843,100,2.447659
-210.17322,100,2.447668
-279.9098,100,2.447675
-217.16066,100,2.44768
-315.9351,100,2.447685
-153.12514,100,2.44769
-173.73868,100,2.447695
-99.09693,100,2.4477
-38.648205,100,2.447705
-159.65012,100,2.582892
-150.65103,100,2.582941
-95.24515,100,2.582949
-148.83351,100,2.582955
-42.557713,100,2.58296
-271.11945,100,2.582965
-38.36545,100,2.58297
-109.508415,100,2.582974
-238.04982,100,2.582978
-194.01202,100,2.582982
-298.33203,100,2.711382
-227.45592,100,2.711413
-272.17767,100,2.71142
-155.96567,100,2.711426
-336.114,100,2.711431
-142.33737,100,2.711435
-90.2451,100,2.711439
-44.179882,100,2.711443
-371.66318,100,2.711447
-256.83267,100,2.711451
-40.617664,100,2.838908
-69.812096,100,2.838933
-56.536606,100,2.838944
-107.67646,100,2.83895
-255.03088,100,2.838955
-161.09543,100,2.838972
-138.16724,100,2.838977
-131.9008,100,2.838984
-147.4555,100,2.838989
-189.50832,100,2.838993
-28.551577,100,2.967023
-81.21491,100,2.967044
-166.3347,100,2.96705
-116.357544,100,2.967055
-111.979126,100,2.967059
-77.92047,100,2.967064
-119.67,100,2.967068
-82.59177,100,2.967072
-144.1037,100,2.967076
-95.52111,100,2.967079
-124.4829,100,3.099666
-103.12893,100,3.099708
-120.8445,100,3.099715
-366.90662,100,3.099721
-32.834114,100,3.099726
-129.53506,100,3.099731
-80.41773,100,3.099736
-190.55031,100,3.09974
-77.1739,100,3.099744
-246.46086,100,3.099748
-107.919205,100,3.229004
-25.517221,100,3.229042
-109.73778,100,3.22905
-20.498419,100,3.229056
-32.724995,100,3.229061
-344.4728,100,3.229066
-278.35876,100,3.22907
-95.24411,100,3.229074
-123.41347,100,3.229078
-91.750206,100,3.229082
-303.06213,100,6.221859
-38.53739,100,6.221905
-67.076775,100,6.221916
-101.79328,100,6.221922
-33.90459,100,6.221927
-264.13318,100,6.221932
-236.60422,100,6.221937
-193.7563,100,6.221941
-267.86395,100,6.221945
-103.33544,100,6.221949
-158.09406,100,6.354294
-47.6258,100,6.354335
-80.13397,100,6.354343
-70.50077,100,6.35435
-49.450653,100,6.354355
-130.97363,100,6.354361
-44.150974,100,6.354365
-115.71945,100,6.35437
-64.27195,100,6.354374
-145.91841,100,6.354378
-71.94241,100,6.483798
-99.32374,100,6.483846
-237.43842,100,6.483854
-40.41952,100,6.48386
-160.73753,100,6.483865
