#{"t_start": 1760104453.683867, "env_id": "None"}
r,l,t
-301.6499,100,0.696735
-106.81601,100,0.696798
-96.56543,100,0.696809
-219.40573,100,0.696816
-39.45558,100,0.696823
-150.64934,100,0.696829
-117.056175,100,0.696834
-348.27423,100,0.696841
-299.01004,100,0.696846
-187.0779,100,0.696854
-149.40457,100,0.83506
-178.84526,100,0.8351
-366.72708,100,0.835109
-349.35855,100,0.835116
-117.42138,100,0.835122
-282.06702,100,0.835128
-106.95123,100,0.835133
-357.10397,100,0.835138
-271.6681,100,0.835143
-52.554195,100,0.835148
-192.29312,100,0.972187
-163.41121,100,0.972224
-125.05143,100,0.972233
-102.97891,100,0.972239
-456.8934,100,0.972245
-164.40097,100,0.97225
-297.6217,100,0.972255
-127.386215,100,0.97226
-107.286156,100,0.972265
-64.13475,100,0.97227
-211.01918,100,1.108668
-283.80548,100,1.108713
-139.79897,100,1.108722
-229.49117,100,1.108728
-221.4841,100,1.108738
-41.31724,100,1.108744
-164.78891,100,1.108749
-276.26508,100,1.108754
-464.18134,100,1.108759
-404.3874,100,1.108763
-326.47095,100,1.251845
-369.11066,100,1.251886
-569.0959,100,1.251895
-352.1501,100,1.251902
-206.88858,100,1.251908
-389.7962,100,1.251914
-432.10443,100,1.25192
-108.681274,100,1.251925
-90.045334,100,1.25193
-162.22108,100,1.251935
-215.72412,100,1.390168
-67.40622,100,1.390215
-115.59246,100,1.390225
-121.766624,100,1.390232
-103.743515,100,1.390241
-202.52269,100,1.390246
-80.21501,100,1.390252
-102.078445,100,1.390257
-85.33378,100,1.390262
-93.471985,100,1.390267
-266.39883,100,1.52759
-289.48618,100,1.527631
-116.42406,100,1.527641
-171.25815,100,1.527648
-278.96704,100,1.527653
-151.33589,100,1.527659
-445.4447,100,1.527664
-273.26395,100,1.527672
-176.07526,100,1.527677
-279.0251,100,1.527682
-142.13373,100,1.665018
-108.89343,100,1.665055
-70.22982,100,1.665062
-207.35086,100,1.665069
-108.390175,100,1.665074
-382.7235,100,1.665079
-281.81216,100,1.665087
-56.251774,100,1.665092
-147.9575,100,1.665096
-289.4849,100,1.665101
-226.32777,100,1.801982
-76.1889,100,1.802036
-107.88944,100,1.802046
-280.59055,100,1.802053
-243.27571,100,1.80206
-201.0958,100,1.802069
-101.426155,100,1.802075
-124.42429,100,1.80208
-126.15616,100,1.802085
-167.17062,100,1.802089
-120.465645,100,1.940032
-274.16306,100,1.940078
-113.99306,100,1.940087
-79.44124,100,1.940094
-158.26924,100,1.9401
-261.23053,100,1.940106
-141.61427,100,1.940112
-127.74806,100,1.940117
-227.42072,100,1.940122
-368.20346,100,1.940128
-253.70137,100,2.07815
-334.6412,100,2.078196
-107.9964,100,2.078206
-114.262535,100,2.078213
-360.33304,100,2.07822
-331.77756,100,2.078226
-270.43668,100,2.078235
-60.994804,100,2.07824
-172.90865,100,2.078246
-285.99225,100,2.078251
-345.858,100,2.215714
-197.77545,100,2.215757
-245.20116,100,2.215768
-385.3519,100,2.215775
-278.62097,100,2.215784
-243.89182,100,2.21579
-363.68466,100,2.215795
-320.32687,100,2.2158
-183.86436,100,2.215805
-248.26918,100,2.21581
-294.23962,100,2.352948
-436.63098,100,2.352992
-385.28412,100,2.353004
-247.82936,100,2.353011
-344.95563,100,2.353017
-387.14014,100,2.353022
-414.14825,100,2.353031
-147.87883,100,2.353036
-240.07582,100,2.353041
-338.53308,100,2.353049
-164.2133,100,2.490369
-184.31816,100,2.490409
-134.16646,100,2.49042
-141.22066,100,2.490426
-81.28176,100,2.490432
-136.5066,100,2.490438
-224.56264,100,2.490443
-127.32508,100,2.490448
-138.39978,100,2.490453
-60.83785,100,2.490458
-149.50946,100,2.62816
-193.1644,100,2.628202
-90.45566,100,2.628213
-230.09586,100,2.628219
-230.46568,100,2.628225
-74.49247,100,2.628231
-93.79712,100,2.628236
-108.684265,100,2.628241
-88.48614,100,2.628246
-82.92797,100,2.628251
-157.93298,100,2.765612
-198.15807,100,2.765653
-355.0251,100,2.765661
-169.4118,100,2.765668
-145.00964,100,2.765675
-74.0938,100,2.76568
-235.54346,100,2.765686
-111.891304,100,2.765691
-241.79709,100,2.765697
-377.9111,100,2.765702
-169.2616,100,2.903432
-187.70392,100,2.903475
-84.48161,100,2.903484
-149.15688,100,2.903491
-173.63927,100,2.903505
-323.30185,100,2.90351
-163.61142,100,2.903514
-146.16678,100,2.903518
-215.98315,100,2.903522
-112.436966,100,2.903526
-69.80737,100,3.045636
-240.27632,100,3.045676
-189.45905,100,3.045686
