#{"t_start": 1760104631.30268, "env_id": "None"}
r,l,t
-19.494833,100,0.682135
-98.27619,100,0.682189
-238.5942,100,0.682203
-237.78267,100,0.68221
-44.2949,100,0.682216
-131.8737,100,0.682222
-135.43616,100,0.682228
-68.34058,100,0.682233
-163.05193,100,0.682239
-178.66019,100,0.682244
-132.09886,100,0.819915
-103.43065,100,0.819942
-267.7838,100,0.819951
-223.88301,100,0.819959
-137.99359,100,0.819965
-215.24731,100,0.819971
-132.91632,100,0.819978
-358.1283,100,0.819984
-170.74585,100,0.819989
-42.82227,100,0.819994
-227.41185,100,0.957122
-98.854004,100,0.957162
-133.94331,100,0.957171
-108.155174,100,0.957181
-123.15056,100,0.957188
-36.99419,100,0.957194
-88.11067,100,0.957199
-345.32825,100,0.957205
-24.556602,100,0.95721
-54.895756,100,0.957215
-188.93723,100,1.093252
-54.53273,100,1.093267
-229.85526,100,1.093274
-103.09488,100,1.09328
-189.84485,100,1.093286
-122.54685,100,1.093291
-34.29937,100,1.093296
-160.50739,100,1.0933
-200.95802,100,1.093305
-144.93144,100,1.09331
-19.915123,100,1.232135
-83.015045,100,1.232188
-62.37124,100,1.232197
-75.77792,100,1.232205
-186.97977,100,1.232211
-114.66465,100,1.232217
-112.719734,100,1.232223
-231.89233,100,1.232229
-40.76989,100,1.232234
-109.401634,100,1.232239
-13.557307,100,1.37007
-45.620613,100,1.370108
-101.48887,100,1.370118
-107.2281,100,1.370125
-159.13475,100,1.370131
-95.97703,100,1.370136
-57.442474,100,1.370142
-68.59174,100,1.370147
-87.70565,100,1.370151
-123.43246,100,1.370156
-62.33162,100,1.506538
-58.008755,100,1.506552
-65.870056,100,1.506559
-36.981365,100,1.506565
-126.69518,100,1.50657
-176.08192,100,1.506576
-94.13622,100,1.506581
-52.182762,100,1.506586
-39.419327,100,1.50659
-69.93958,100,1.506595
-220.03313,100,1.644535
-27.713812,100,1.644574
-76.824684,100,1.644581
-56.512848,100,1.644588
-317.15875,100,1.644594
-132.61588,100,1.644599
-86.01676,100,1.644604
-73.35105,100,1.64461
-184.7094,100,1.644615
-253.4488,100,1.64462
-37.009865,100,1.785132
-118.16975,100,1.785179
-288.95975,100,1.785188
-65.07795,100,1.785198
-46.167797,100,1.785204
-191.84166,100,1.785214
-172.67162,100,1.785219
-45.751133,100,1.785224
-70.64898,100,1.785232
-97.09157,100,1.785237
-52.328228,100,1.921806
-180.5007,100,1.921822
-195.24567,100,1.92183
-52.144077,100,1.921837
-160.46544,100,1.921845
-80.55781,100,1.92185
-32.976402,100,1.921856
-167.11655,100,1.921861
-119.235535,100,1.921865
-50.76929,100,1.921873
-265.6203,100,2.058952
-40.02512,100,2.058992
-91.31054,100,2.058998
-108.47613,100,2.059004
-225.48944,100,2.05901
-239.07147,100,2.059015
-191.01689,100,2.05902
-132.69339,100,2.059025
-262.1145,100,2.059029
-14.376965,100,2.059034
